investigation,regime,sample,horizon,n,mean_forward_return,median_forward_return,mfe_median,mae_median,future_vol_median,p_plus_0_5R,p_plus_1R,p_plus_2R,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,time_to_0_5R_median_min,time_to_1R_median_min,time_to_2R_median_min,delta_median_fwd_vs_baseline,delta_p_race_vs_baseline
06_mean_reversion,ret3_Q3,thinned144,1h,218,-0.000401704198010712,-0.0005654468670990287,0.0020935176705939584,0.0028734116389155795,0.005421280757472115,0.1926605504587156,0.045871559633027525,0.013761467889908258,0.045871559633027525,0.04128440366972477,0.9128440366972477,30.0,30.0,35.0,-0.0006463910601899325,-0.0203476967292799
06_mean_reversion,ret3_Q3,thinned144,2h,218,-0.0007728116817641448,-0.00016465711251179016,0.0033231454660208604,0.004340936677639962,0.009113706788266304,0.3302752293577982,0.11926605504587157,0.022935779816513763,0.11926605504587157,0.12844036697247707,0.7522935779816514,55.0,82.5,35.0,-0.0003808002785323783,-0.014716002200058087
06_mean_reversion,ret3_Q3,thinned144,4h,218,7.285329646004728e-05,-0.00047412575222710585,0.006243961081369043,0.005898677287564158,0.014229284934894245,0.5458715596330275,0.28440366972477066,0.0963302752293578,0.26146788990825687,0.24770642201834864,0.4908256880733945,95.0,130.0,175.0,-0.0008252180851814894,0.02115111388296037
06_mean_reversion,ret3_Q3,thinned144,12h,218,0.0013648452493124532,0.0016704774326407046,0.009213230117058657,0.008658024342107384,0.022058745673640932,0.7201834862385321,0.45871559633027525,0.19724770642201836,0.38990825688073394,0.38073394495412843,0.22935779816513763,125.0,185.0,260.0,0.0007155538383282201,-0.03425179634361619
06_mean_reversion,ret3_Q4,full,15m,26339,1.2085385535943768e-05,-0.00010191581311458364,0.0014140072751887,0.0014806652663474917,0.0034813822093386687,0.10175025627396636,0.019286988875811536,0.001518660541402483,0.019059189794601163,0.012718782034245795,0.968222028171153,10.0,10.0,15.0,-0.0001234733761275031,0.009225862789020085
06_mean_reversion,ret3_Q4,full,30m,26339,5.287687969993173e-05,-6.955652619644592e-05,0.002055884092253102,0.0020998841561993276,0.004990925589836661,0.18683321310604048,0.04852120429780933,0.005960742625004746,0.04791374008124834,0.036827518129010216,0.9152587417897414,15.0,20.0,25.0,-0.00010504607165329194,0.020092985095628565
06_mean_reversion,ret3_Q4,full,1h,26337,6.094411842993472e-05,-0.00012615998130738326,0.0029252473923508937,0.002982603872551226,0.007097435897435863,0.29847742719368187,0.1014162584956525,0.01902266772980977,0.09966966624900331,0.08877244940577894,0.8115578843452178,25.0,35.0,40.0,-0.0002071041743982871,0.033450409886695884
06_mean_reversion,ret3_Q4,full,2h,26336,0.00019888854091815408,6.391180267795171e-06,0.0042458756094947425,0.004238388527598169,0.01007394759085379,0.43731014580801947,0.18282958687727824,0.04829890643985419,0.1762226609963548,0.1703371810449575,0.6534401579586877,40.0,55.0,70.0,-0.00020975198575279297,0.042240603750425154
06_mean_reversion,ret3_Q4,full,4h,26330,0.0004342560820757735,0.00021363033038501733,0.006126033401080533,0.006082062930197529,0.014702598898245694,0.5741739460691226,0.3061906570451956,0.10402582605393088,0.28499810102544626,0.27937713634637296,0.4356247626281808,60.0,100.0,130.0,-0.00013746200256936625,0.04468132500014976
06_mean_reversion,ret3_Q4,full,12h,26297,0.001487309376667668,0.0009729164553602399,0.011409425957480845,0.010873675303562647,0.026657014749909027,0.7613796250522873,0.5505951249191923,0.2770658249990493,0.4507738525307069,0.43297714568201695,0.11624900178727611,95.0,205.0,320.0,1.7992861047755326e-05,0.026613799306356767
06_mean_reversion,ret3_Q4,thinned144,15m,151,-7.746366351514775e-05,-0.00020803266633950823,0.0015078354640554181,0.0014676436933172,0.0035891280355220792,0.11258278145695365,0.026490066225165563,0.006622516556291391,0.026490066225165563,0.006622516556291391,0.9668874172185431,10.0,12.5,15.0,-0.00022959022935242768,0.016656739219584486
06_mean_reversion,ret3_Q4,thinned144,30m,151,-1.4844033105896488e-05,2.8517119153859127e-05,0.002157587458510246,0.0021246914598174182,0.005168530947054263,0.18543046357615894,0.059602649006622516,0.006622516556291391,0.059602649006622516,0.046357615894039736,0.8940397350993378,15.0,25.0,15.0,-6.972426302986889e-06,0.031781894021002746
06_mean_reversion,ret3_Q4,thinned144,1h,151,-0.00045394127142847315,5.485343164135514e-07,0.003321330324716154,0.0030353177024208255,0.0072300824652323575,0.2582781456953642,0.06622516556291391,0.013245033112582781,0.06622516556291391,0.08609271523178808,0.847682119205298,25.0,25.0,35.0,-8.039565877449029e-05,5.909200606488141e-06
06_mean_reversion,ret3_Q4,thinned144,2h,151,0.00033557931201290864,-0.00028876120428977803,0.004808283228013632,0.005028626187928431,0.010654611621599242,0.4768211920529801,0.1390728476821192,0.039735099337748346,0.13245033112582782,0.17880794701986755,0.6887417218543046,55.0,70.0,102.5,-0.0005049043703103662,-0.0015317261201018284
06_mean_reversion,ret3_Q4,thinned144,4h,151,-0.0009336977524210924,-0.0009024912840120969,0.0070834642591621755,0.007725044647351242,0.017619258599404834,0.6423841059602649,0.2913907284768212,0.09271523178807947,0.25165562913907286,0.37748344370860926,0.3708609271523179,75.0,125.0,135.0,-0.0012535836169664805,0.01133885311377636
06_mean_reversion,ret3_Q4,thinned144,12h,150,0.001393462544523804,0.0003212760017966554,0.011216603480023513,0.013053885681195587,0.028291278019091835,0.7533333333333333,0.5466666666666666,0.35333333333333333,0.4066666666666667,0.48,0.11333333333333333,95.0,220.0,410.0,-0.0006336475925158291,-0.017493386557683455
06_mean_reversion,ret6_Q1,full,15m,26339,4.612294066420162e-05,0.00023142526741826153,0.0015866497039762617,0.0014903982061837961,0.003665584764425394,0.09233456091727096,0.01370591138615741,0.0012908614601921105,0.013136413683131478,0.03052507688218991,0.9563385094346786,10.0,10.0,12.5,0.00020986770440534208,0.0033030866775503997
06_mean_reversion,ret6_Q1,full,30m,26337,8.596132175704002e-05,0.0002927981522333756,0.00225852982925967,0.0021244898519925393,0.0052240492522794505,0.18232904279151005,0.037589702699624104,0.0035691232866309755,0.036070926832972625,0.06659832175266735,0.89733075141436,15.0,20.0,25.0,0.00025730860677652956,0.008250171847352852
06_mean_reversion,ret6_Q1,full,1h,26336,0.00021313604056344944,0.0004698939185144857,0.0031886134296896795,0.003007355175503601,0.007404564273774299,0.3109811664641555,0.09040856622114216,0.013137910085054678,0.08645959902794653,0.12363304981773998,0.7899073511543135,25.0,35.0,40.0,0.00038894972542358186,0.020240342665639108
06_mean_reversion,ret6_Q1,full,2h,26331,0.000317909341072937,0.0006027805377422091,0.0044527522935779995,0.004289332364409426,0.01049901205519702,0.4528502525540238,0.17944628005013102,0.03687668527591052,0.16736926056739204,0.20196726292203107,0.6306634765105769,40.0,60.0,75.0,0.00038663737172162094,0.03338720332146239
06_mean_reversion,ret6_Q1,full,4h,26322,0.0006478911959512059,0.0008157900254943673,0.00637137491472628,0.006125140272211782,0.014818239514579959,0.5933059797887699,0.3093229997720538,0.09102651774181293,0.2786262442063673,0.2983815819466606,0.42299217384697213,60.0,105.0,140.0,0.0004646976925399837,0.03830946818107078
06_mean_reversion,ret6_Q1,full,12h,26288,0.0015897515186661948,0.0015629885996175652,0.011417061313788057,0.010851082967600068,0.02669359707795929,0.7705036518563603,0.5550060864272672,0.26700395617772366,0.4442711503347535,0.4363207547169811,0.11940809494826536,90.0,210.0,340.0,0.0006080650053050807,0.020111097110403375
06_mean_reversion,ret6_Q1,thinned144,15m,139,0.00041814609801029307,0.0005841226316565251,0.0019260029011229918,0.001255822972631937,0.003835391997276384,0.12949640287769784,0.014388489208633094,0.007194244604316547,0.014388489208633094,0.02158273381294964,0.9640287769784173,15.0,12.5,15.0,0.0005625650686436057,0.004555162203052016
06_mean_reversion,ret6_Q1,thinned144,30m,139,0.0009433058830698356,0.0005595449034785371,0.0025216214758279065,0.002273141368347331,0.005142004527680563,0.2446043165467626,0.05755395683453238,0.007194244604316547,0.05755395683453238,0.05755395683453238,0.8848920863309353,15.0,25.0,15.0,0.0005240553580216911,0.029733201848912604
06_mean_reversion,ret6_Q1,thinned144,1h,139,0.00085485017150088,0.0007084853657286505,0.0035791519766517066,0.002938463986599027,0.00754087120839975,0.34532374100719426,0.10071942446043165,0.02158273381294964,0.09352517985611511,0.10071942446043165,0.8057553956834532,25.0,30.0,35.0,0.0006275411726377467,0.027305923493807685
06_mean_reversion,ret6_Q1,thinned144,2h,139,0.00011354898971689446,0.0007891921595222229,0.004949062453860842,0.00517576627305838,0.011336288105826715,0.49640287769784175,0.2302158273381295,0.050359712230215826,0.22302158273381295,0.2302158273381295,0.5467625899280576,35.0,65.0,80.0,0.0005730489935016347,0.0890395254878833
06_mean_reversion,ret6_Q1,thinned144,4h,139,0.0011648308474675828,0.00024772790967686475,0.007655107232754643,0.007227083333333328,0.018316526034163408,0.7122302158273381,0.41007194244604317,0.12949640287769784,0.37410071942446044,0.302158273381295,0.3237410071942446,65.0,110.0,150.0,-0.00010336442327751882,0.13378394339916394
06_mean_reversion,ret6_Q1,thinned144,12h,139,0.0025936226161900767,0.002175271489891717,0.011799699507139882,0.01085484250060409,0.02719718315856463,0.8057553956834532,0.5683453237410072,0.2949640287769784,0.4316546762589928,0.4172661870503597,0.1510791366906475,70.0,150.0,300.0,0.0012203478955792324,0.007494623034642656
06_mean_reversion,ret6_Q1_bull,full,15m,11393,2.4496525437799817e-05,0.00016173041195566285,0.0014053345473048484,0.0012991069385839271,0.003206771962423891,0.06407443166856842,0.0065829895549899065,0.0006144123584657246,0.006407443166856842,0.02071447379970157,0.9728780830334416,10.0,15.0,15.0,0.00020222178688955594,-0.0033182737701669103
06_mean_reversion,ret6_Q1_bull,full,30m,11393,5.8765944435591755e-05,0.00017783498004564358,0.0020135912084868757,0.0018632971906621387,0.004578924684185943,0.14745896603177389,0.026770824190292284,0.0026331958219959622,0.026068638637760027,0.04722197840779426,0.9267093829544457,20.0,25.0,25.0,0.00024678532450694846,-0.0037866355560761886
